PaperAngle,PaperStress,VMAngle,VMStress,NguygenAngle,NguyenStress,BoudardAngle,BoudardStress
,,10.50244415,177220506.8,8.820279373,148987668.2,8.71137293,155703772
,,10.54255458,177179435.5,8.860381892,149080078.8,8.751418096,155797116
,,10.58266506,177138364.1,8.900484354,149172489.4,8.791520501,155890771.2
,,10.6227756,177096670.4,8.940586873,149264900,8.831622963,155984426.4
,,10.6628862,177054665.6,8.980689393,149357310.6,8.871725368,156078703.9
,,10.7029968,177012349.6,9.020791855,149450032.4,8.911827772,156172981.4
,,10.74310746,176969722.5,9.060894374,149542754.1,8.951930177,156267570
,,10.78327546,176926784.3,9.100996836,149635475.9,8.992032582,156362158.6
,,10.82338623,176883223.7,9.141099298,149728508.8,9.032134929,156457058.4
,,10.863497,176839663.1,9.181201703,149821541.7,9.072237277,156551958.2
,,10.90360783,176795791.4,9.221246869,149915196.9,9.112339624,156646857.9
,,10.94371872,176751297.5,9.261349331,150008540.9,9.152442029,156742068.9
,,10.9838296,176706803.5,9.301451793,150102507.2,9.192544376,156837279.8
,,11.02394054,176661687.2,9.341554198,150196473.6,9.232589428,156932801.8
,,11.06405154,176616570.9,9.381656602,150290751,9.272691775,157028323.9
,,11.10416254,176570832.3,9.42175895,150385339.7,9.312794123,157123846
,,11.1442736,176525093.7,9.461861354,150479928.3,9.352896413,157219368
,,11.18438465,176478732.9,9.501963702,150574828.1,9.39299876,157315201.3
,,11.22449582,176432372,9.542066106,150669416.7,9.43310105,157411345.6
,,11.26460694,176385700,9.582168454,150764627.6,9.473203398,157507490
,,11.30471817,176338405.6,9.622270859,150859527.4,9.513305688,157603634.4
,,11.34482934,176291111.3,9.662373206,150954738.3,9.553407978,157700089.9
,,11.38499792,176243505.9,9.702475553,151049949.2,9.593510268,157796856.5
,,11.4251092,176195589.3,9.742520605,151145471.3,9.633612558,157893934.3
,,11.46522049,176147361.5,9.782622952,151240993.4,9.673714848,157991012.1
,,11.50533183,176098822.6,9.8227253,151336826.6,9.713759785,158088401.1
,,11.54544323,176050283.7,9.862827647,151432348.7,9.753862018,158185790
,,11.58555463,176001433.7,9.902929937,151528493,9.793964251,158283490.1
,,11.62566609,175951961.3,9.943032285,151624637.4,9.834066484,158381190.2
,,11.66577755,175902177.8,9.983134575,151720781.7,9.874168716,158479201.5
,,11.705889,175853016.6,10.02323692,151817548.4,9.914270949,158577212.7
,,11.74600058,175802610.9,10.06333921,151914315.1,9.954373182,158675223.9
,,11.78611209,175752516.2,10.10344145,152011081.7,9.994475415,158773546.3
,,11.82622366,175702421.6,10.14354368,152108159.5,10.03457759,158871868.7
,,11.86633524,175651704.7,10.18364591,152205548.5,10.07467977,158970502.3
,,11.90644686,175600987.7,10.22369085,152303248.6,10.11478194,159068824.6
,,11.94661579,175549648.5,10.26379314,152400637.5,10.15488412,159167769.3
,,11.98672748,175498620.4,10.30389537,152498337.6,10.194929,159266714
,,12.02683916,175446970.1,10.3439976,152596348.9,10.23503117,159365658.7
,,12.06695091,175395008.5,10.38409984,152694360.1,10.27513335,159464914.5
,,12.10706265,175343047,10.42420207,152792371.3,10.31523552,159564481.5
,,12.14717434,175291396.7,10.46430424,152890693.7,10.35533764,159664359.6
,,12.18728614,175239124,10.50440648,152989016.1,10.39543976,159764237.8
,,12.22739794,175186540.2,10.54450865,153087649.7,10.43554188,159864427
,,12.26750974,175133645.2,10.58461083,153186594.3,10.47564394,159964616.3
,,12.3076216,175081372.6,10.624713,153285227.9,10.51574606,160065116.7
,,12.34773346,175027855.3,10.66481518,153384172.6,10.55584812,160165617.1
,,12.38784532,174974649.2,10.70486006,153483428.4,10.59595024,160266117.5
,,12.42795723,174921754.3,10.74496223,153582684.2,10.63599506,160366929.1
,,12.46812644,174867925.9,10.78506441,153682251.2,10.67609712,160467740.7
,,12.50823836,174814408.6,10.82516653,153781818.2,10.71619924,160568863.4
,,12.54835028,174760891.4,10.86526865,153882007.4,10.7563013,160669986.1
,,12.58846225,174706751.8,10.90537077,153981885.6,10.79640336,160771108.8
,,12.62857422,174652612.3,10.94547283,154082074.8,10.83650536,160872542.7
,,12.66868619,174598161.6,10.98557494,154182575.3,10.87660737,160973976.5
,,12.70879823,174543710.9,11.02567706,154283075.7,10.91670943,161075721.5
,,12.74891026,174489571.3,11.06577912,154383887.2,10.95681143,161177777.7
,,12.78902229,174434498.4,11.10588124,154484698.8,10.99691349,161279833.8
,,12.82913432,174379736.5,11.14592601,154585510.4,11.0370155,161382201.1
,,12.86924635,174325285.8,11.18602807,154686633.1,11.0771175,161484568.4
,,12.90935843,174269901.7,11.22613013,154788066.9,11.11716221,161587246.9
,,12.94952782,174214828.7,11.26623213,154889500.8,11.15726415,161690236.5
,,12.98963991,174159755.7,11.30633414,154991245.8,11.1973661,161793226.1
,,13.02975199,174104371.6,11.3464362,155092990.8,11.23746805,161896526.8
,,13.06986414,174048365.2,11.38653826,155194735.8,11.27756999,161999516.4
,,13.10997628,173992981,11.42664026,155296792,11.317672,162103128.3
,,13.15008843,173937285.8,11.46674232,155398848.1,11.35777394,162206429
,,13.19020057,173880968.2,11.50684433,155500904.3,11.39787589,162310040.9
,,13.23031272,173825272.9,11.54694633,155603582.7,11.43797784,162413963.9
,,13.27042492,173768644.2,11.58704833,155706261.1,11.47807978,162517887
,,13.31053712,173712015.5,11.62709298,155808939.6,11.51818167,162621810
,,13.35064932,173655697.9,11.66719499,155911929.2,11.55822626,162726044.2
,,13.39081882,173598758,11.70729693,156015229.9,11.59832815,162830589.5
,,13.43093103,173541818.2,11.74739888,156118530.7,11.63843004,162935134.8
,,13.47104328,173484878.3,11.78750083,156221831.4,11.67853199,163039680.1
,,13.51115549,173427627.3,11.82760283,156325754.4,11.71863388,163144847.8
,,13.55126775,173370065.1,11.86770478,156429366.3,11.75873577,163249704.2
,,13.59138001,173312814.1,11.90780667,156533289.3,11.79883766,163355183
,,13.63149227,173255252,11.94790861,156637523.5,11.83893949,163460350.6
,,13.67160458,173197378.7,11.9880105,156741757.7,11.87904132,163566140.5
,,13.71171684,173139816.5,12.02811239,156846303,11.91914315,163671930.4
